hospital_id,hospital_org_id,ein,name,name_cr,street_address,city,state,zip_code,fips_state_and_county_code,hospital_bed_count,chrch_affl_f,urban_location_f,children_hospital_f,memb_counc_teach_hosps_f,medicare_provider_number,county,hospital_bed_size,updated_dt
289,136,951683892,Cmh Of San Buenaventura,Cmh Of San Buenaventura,147 N Brent Street,Ventura,CA,93003,06111,242,N,Y,N,Y,050394,Ventura County,100-299 beds,"November 20, 2023"
290,203,951644629,Santa Barbara Cottage Hospital,Santa Barbara Cottage Hospital,400 West Pueblo Street,Santa Barbara,CA,93102,06083,450,N,Y,N,N,050396,Santa Barbara County,>299 beds,"November 20, 2023"
291,204,940382780,Chinese Hospital,Chinese Hospital,845 Jackson Street,San Francisco,CA,94133,06075,54,N,Y,N,N,050407,San Francisco County,<100 beds,"November 20, 2023"
292,140,941105628,Kfh - South Bay,Kfh - South Bay,25825 S Vermont Avenue,Harbor City,CA,90710,06037,251,N,Y,N,N,050411,Los Angeles County,100-299 beds,"November 20, 2023"
293,46,941196203,Mercy Hospital Of Folsom,Mercy Hospital Of Folsom,1650 Creekside Drive,Folsom,CA,93630,06067,106,N,Y,N,N,050414,Sacramento County,100-299 beds,"November 20, 2023"
294,205,942988520,Sutter Coast Hospital,Sutter Coast Hospital,800 East Washington,Crescent City,CA,95531,06015,49,N,N,N,N,050417,Del Norte County,<100 beds,"November 20, 2023"
295,141,951684089,Scripps Green Hospital,Scripps Green Hospital,10666 North Torrey Pines Road,La Jolla,CA,92037,06073,173,N,Y,N,N,050424,San Diego County,100-299 beds,"November 20, 2023"
296,140,941105628,Kfh - Sacramento,Kfh - Sacramento,2025 Morse Avenue,Sacramento,CA,95825,06067,628,N,Y,N,Y,050425,Sacramento County,>299 beds,"November 20, 2023"
297,206,311750849,Colusa Regional Medical Center,,199 East Webster St,Colusa,CA,95932,06011,42,N,N,N,N,050434,Colusa County,<100 beds,"November 20, 2023"
298,207,951644036,Huntington Hospital,Huntington Hospital,100 West California,Pasadena,CA,91105,06037,625,N,Y,N,Y,050438,Los Angeles County,>299 beds,"November 20, 2023"
299,208,946174066,Stanford Health Care,Stanford Health Care,300 Pasteur Drive,Stanford,CA,94305,06085,613,N,Y,N,Y,050441,Santa Clara County,>299 beds,"November 20, 2023"
300,194,941044474,Lodi Memorial Hospital - West,,800 S Lower Sacramento Rd,Lodi,CA,95240,06077,85,N,Y,N,N,050442,San Joaquin County,<100 beds,"November 20, 2023"
301,46,941196203,Mercy Medical Center Merced,Mercy Medical Center Merced,333 Mercy Avenue,Merced,CA,95340,06047,186,N,Y,N,Y,050444,Merced County,100-299 beds,"November 20, 2023"
302,209,952082686,Ridgecrest Regional Hospital,Ridgecrest Regional Hospital,1081 North China Lake Blvd,Ridgecrest,CA,93555,06029,80,N,Y,N,N,050448,Kern County,<100 beds,"November 20, 2023"
303,210,952294234,Adventist Health Bakersfield,Adventist Health Bakersfield,2615 Chester Avenue,Bakersfield,CA,93303,06029,255,N,Y,N,N,050455,Kern County,100-299 beds,"November 20, 2023"
304,46,941196203,St Marys Medical Center,St Marys Medical Center,450 Stanyan Street,San Francisco,CA,94117,06075,339,N,Y,N,Y,050457,San Francisco County,>299 beds,"November 20, 2023"
305,151,940535360,Adventist Medical Center-Selma,,1141 Rose Ave,Selma,CA,93662,06019,57,N,Y,N,Y,050470,Fresno County,<100 beds,"November 20, 2023"
306,211,951656366,Pih Health Good Samaritan Hospital,Pih Health Good Samaritan Hospital,1225 Wilshire Boulevard,Los Angeles,CA,90017,06037,408,N,Y,N,Y,050471,Los Angeles County,>299 beds,"November 20, 2023"
307,212,352391110,Memorialcare Long Beach Med Ctr,Memorialcare Long Beach Med Ctr,2801 Atlantic Avenue,Long Beach,CA,90806,06037,570,N,Y,N,Y,050485,Los Angeles County,>299 beds,"November 20, 2023"
308,127,940562680,Eden Medical Center,Eden Medical Center,20103 Lake Chabot Rd,Castro Valley,CA,94546,06001,155,N,Y,N,N,050488,Alameda County,100-299 beds,"November 20, 2023"
309,138,941156276,Clovis Community Medical Center,Clovis Community Medical Center,2755 Herndon Avenue,Clovis,CA,93611,06019,208,N,Y,N,Y,050492,Fresno County,100-299 beds,"November 20, 2023"
310,170,941461843,John Muir Medical Center - Concord,John Muir Medical Center - Concord,2540 East Street,Concord,CA,94520,06013,303,N,Y,N,N,050496,Contra Costa County,>299 beds,"November 20, 2023"
311,130,941156621,Sutter Auburn Faith Hospital,Sutter Auburn Faith Hospital,11815 Education Street,Auburn,CA,95604,06061,97,N,Y,N,N,050498,Placer County,<100 beds,"November 20, 2023"
312,214,912154438,St Vincent Medical Center,St Vincent Medical Center,2131 West 3rd Street,Los Angeles,CA,90057,06037,381,Y,Y,N,N,050502,Los Angeles County,>299 beds,"November 20, 2023"
313,141,951684089,Scripps Memorial Hospital-Encinitas,Scripps Memorial Hospital-Encinitas,354 Santa Fe Drive,Encinitas,CA,92023,06073,158,N,Y,N,N,050503,San Diego County,100-299 beds,"November 20, 2023"
314,140,941105628,Kfh - San Rafael,Kfh - San Rafael,99 Monticello Road,San Rafael,CA,94063,06041,120,N,Y,N,N,050510,Marin County,100-299 beds,"November 20, 2023"
315,140,941105628,Kfh - Fremont,Kfh - Fremont,39400 Paseo Padre Pkwy,Fremont,CA,94545,06001,193,N,Y,N,Y,050512,Alameda County,100-299 beds,"November 20, 2023"
316,140,941105628,Kfh - San Diego,Kfh - San Diego,4647 Zion Avenue,San Diego,CA,92120,06073,659,N,Y,N,N,050515,San Diego County,>299 beds,"November 20, 2023"
317,46,941196203,Mercy San Juan Medical Center,Mercy San Juan Medical Center,6501 Coyle Avenue,Carmichael,CA,95608,06067,370,N,Y,N,N,050516,Sacramento County,>299 beds,"November 20, 2023"
318,215,952475762,Victor Valley Community Hospital,Victor Valley Community Hospital,15248 11th St,Victorville,CA,92392,06071,110,N,Y,N,N,050517,San Bernardino County,100-299 beds,"November 20, 2023"
319,127,940562680,Sutter Delta Medical Center,Sutter Delta Medical Center,3901 Lone Tree Way,Antioch,CA,94509,06013,111,N,Y,N,N,050523,Contra Costa County,100-299 beds,"November 20, 2023"
320,165,208065139,Huntington Beach Hospital,Huntington Beach Hospital,17772 Beach Blvd,Huntington Beach,CA,92647,06059,131,N,Y,N,N,050526,Orange County,100-299 beds,"November 20, 2023"
321,130,941156621,Memorial Hospital - Los Banos,Memorial Hospital - Los Banos,520 West I Street,Los Banos,CA,93635,06047,48,N,Y,N,N,050528,Merced County,<100 beds,"November 20, 2023"
322,130,941156621,Sutter Davis Hospital,Sutter Davis Hospital,2000 Sutter Place,Davis,CA,95616,06113,48,N,Y,N,N,050537,Yolo County,<100 beds,"November 20, 2023"
323,140,941105628,Kfh - Redwood City,Kfh - Redwood City,1100 Veterans Boulevard,Redwood City,CA,94063,06081,149,N,Y,N,Y,050541,San Mateo County,100-299 beds,"November 20, 2023"
324,216,951652916,Motion Picture And Television Fund,Motion Picture And Television Fund,23388 Mulholland Drive,Woodland Hills,CA,91364,06037,256,N,Y,N,N,050552,Los Angeles County,100-299 beds,"November 20, 2023"
325,130,941156621,Memorial Hospital Modesto,Memorial Hospital Modesto,1700 Coffee Road,Modesto,CA,95355,06099,275,N,Y,N,N,050557,Stanislaus County,100-299 beds,"November 20, 2023"
326,140,941105628,Kfh - West Los Angeles,Kfh - West Los Angeles,6041 Cadillac  Avenue,Los Angeles,CA,90034,06037,293,N,Y,N,N,050561,Los Angeles County,100-299 beds,"November 20, 2023"
327,173,951643360,Mission Hospital Reg Medical Center,Mission Hospital Reg Medical Center,27700 Medical Center Road,Mission Viejo,CA,92691,06059,565,N,Y,N,N,050567,Orange County,>299 beds,"November 20, 2023"
328,217,237429117,Madera Community Hospital,Madera Community Hospital,1250 East Almond Avenue,Madera,CA,93637,06039,106,N,Y,N,N,050568,Madera County,100-299 beds,"November 20, 2023"
329,218,956130458,Eisenhower Medical Center,Eisenhower Medical Center,39000 Bob Hope Drive,Rancho Mirage,CA,92270,06065,289,N,Y,N,N,050573,Riverside County,100-299 beds,"November 20, 2023"
330,219,330738307,Tri-City Regional Medical Center,Tri-City Regional Medical Center,21530 S Pioneer Blvd,Hawaiian Gardens,CA,90716,06037,150,N,Y,N,N,050575,Los Angeles County,100-299 beds,"November 20, 2023"
331,165,208065139,La Palma Intercommunity  Hospital,La Palma Intercommunity  Hospital,7901 Walker Street,La Palma,CA,90623,06059,140,N,Y,N,N,050580,Orange County,100-299 beds,"November 20, 2023"
332,212,352391110,Saddleback Memorial Medical Center - San Clemente,,654 Camino De Los Mares,San Clemente,CA,92673,06059,71,N,Y,N,N,050585,Orange County,<100 beds,"November 20, 2023"
333,47,815009488,Methodist Hospital Of Sacramento,Methodist Hospital Of Sacramento,7500 Hospital Drive,Sacramento,CA,95823,06067,158,N,Y,N,N,050590,Sacramento County,100-299 beds,"November 20, 2023"
334,220,952413054,Emanate Health Foothill Presb Hosp,Emanate Health Foothill Presb Hosp,250 South Grand Avenue,Glendora,CA,91740,06037,106,N,Y,N,N,050597,Los Angeles County,100-299 beds,"November 20, 2023"
335,212,352391110,Memorialcare Saddleback Med Ctr,Memorialcare Saddleback Med Ctr,24451 Health Center Drive,Laguna Hills,CA,92653,06059,325,N,Y,N,N,050603,Orange County,>299 beds,"November 20, 2023"
336,140,941105628,Kfh- San Jose,Kfh- San Jose,250 Hospital Parkway,San Jose,CA,95119,06085,247,N,Y,N,Y,050604,Santa Clara County,100-299 beds,"November 20, 2023"
337,221,770258013,Delano Regional Med Ctr,Delano Regional Med Ctr,1401 Garces Highway,Delano,CA,93215,06029,156,N,Y,N,N,050608,Kern County,100-299 beds,"November 20, 2023"
338,140,941105628,Kfh - Oc-Anaheim,Kfh - Oc-Anaheim,3440 E La Palma Avenue,Anaheim,CA,92806,06059,262,N,Y,N,Y,050609,Orange County,100-299 beds,"November 20, 2023"
339,187,912154441,Seton Medical Center Coastside,,600 Marine Blvd,Moss Beach,CA,94038,06081,5,Y,Y,N,N,050613,San Mateo County,<100 beds,"November 20, 2023"
340,46,941196203,St Johns Pleasant Valley Hospital,,2309 Antonio Ave,Camarillo,CA,93010,06111,180,Y,Y,N,N,050616,Ventura County,100-299 beds,"November 20, 2023"
341,222,952821104,Henry Mayo Newhall Memorial Hospital,Henry Mayo Newhall Memorial Hospital,23845 Mcbean Parkway,Valencia,CA,91355,06037,238,N,Y,N,N,050624,Los Angeles County,100-299 beds,"November 20, 2023"
342,223,951644600,Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,8700 Beverly Blvd,Los Angeles,CA,90048,06037,877,N,Y,N,Y,050625,Los Angeles County,>299 beds,"November 20, 2023"
343,224,851644866,Usc Norris Cancer Hospital,Usc Norris Cancer Hospital,1441 Eastlake Ave,Los Angeles,CA,90033,06037,60,N,Y,N,Y,050660,Los Angeles County,<100 beds,"November 20, 2023"
344,140,941105628,Kfh - South Sacramento,Kfh - South Sacramento,6600 Bruceville Road,Sacramento,CA,95823,06067,241,N,Y,N,N,050674,Sacramento County,100-299 beds,"November 20, 2023"
345,140,941105628,Kfh - Woodland Hills,Kfh - Woodland Hills,5601 De Soto Ave,Woodland Hills,CA,91367,06037,218,N,Y,N,N,050677,Los Angeles County,100-299 beds,"November 20, 2023"
346,212,352391110,Memorialcare Orange Coast Med Ctr,Memorialcare Orange Coast Med Ctr,9920 Talbert Avenue,Fountain Valley,CA,92708,06059,210,N,Y,N,N,050678,Orange County,100-299 beds,"November 20, 2023"
347,200,941458282,Northbay Vacavalley Hospital,,1000 Nut Tree Road,Vacaville,CA,95688,06095,50,N,Y,N,N,050680,Solano County,<100 beds,"November 20, 2023"
348,140,941105628,Kfh - Riverside,Kfh - Riverside,10800 Magnolia Ave,Riverside,CA,92505,06065,226,N,Y,N,Y,050686,Riverside County,100-299 beds,"November 20, 2023"
349,225,912154437,St Louise Regional Hospital,St Louise Regional Hospital,9400 No Name Uno,Gilroy,CA,95020,06085,93,Y,Y,N,N,050688,Santa Clara County,<100 beds,"November 20, 2023"
350,140,941105628,Kfh - Santa Rosa,Kfh - Santa Rosa,401 Bicentennial Way,Santa Rosa,CA,95403,06097,173,N,Y,N,Y,050690,Sonoma County,100-299 beds,"November 20, 2023"
351,224,851644866,Keck Hospital Of Usc,Keck Hospital Of Usc,1500 San Pablo Street,Los Angeles,CA,90033,06037,285,N,Y,N,Y,050696,Los Angeles County,100-299 beds,"November 20, 2023"
352,226,510142144,Mission Community Hospital - Panorama,Mission Community Hospital,14850 Roscoe Blvd,Panorama City,CA,91402,06037,96,N,Y,N,N,050704,Los Angeles County,<100 beds,"November 20, 2023"
353,140,941105628,Kfh - Fresno,Kfh - Fresno,7300 North Fresno,Fresno,CA,93720,06019,169,N,Y,N,Y,050710,Fresno County,100-299 beds,"November 20, 2023"
354,127,940562680,Sutter Maternity & Surgery Center,Sutter Maternity & Surgery Center,2900 Chanticleer Avenue,Santa Cruz,CA,95065,06087,30,N,Y,N,N,050714,Santa Cruz County,<100 beds,"November 20, 2023"
355,147,953782169,Sharp Mary Birch Hospital For Women And Newborns--,,3003 Health Center Drive,San Diego,CA,92123,06073,169,N,Y,N,N,050722,San Diego County,100-299 beds,"November 20, 2023"
356,140,941105628,Kfh - Baldwin Park,Kfh - Baldwin Park,1011 Baldwin Park Blvd,Baldwin Park,CA,91706,06037,269,N,Y,N,Y,050723,Los Angeles County,100-299 beds,"November 20, 2023"
357,227,680273974,Stanislaus Surgical,Stanislaus Surgical,1421 Oakdale Road,Modesto,CA,95355,06099,23,N,Y,N,N,050726,Stanislaus County,<100 beds,"November 20, 2023"
358,212,352391110,Community Hospital Long Beach,Community Hospital Long Beach,1720 Termino Avenue,Long Beach,CA,90804,06037,258,N,Y,N,N,050727,Los Angeles County,100-299 beds,"November 20, 2023"
359,138,941156276,Fresno Heart And Surgical Hospital,,15 East Audubon Drive,Fresno,CA,93720,06019,57,N,Y,N,Y,050732,Fresno County,<100 beds,"November 20, 2023"
360,229,201645949,Cedars-Sinai Marina Del Rey Hospital,Cedars-Sinai Marina Del Rey Hospital,4650 Lincoln Blvd,Marina Del Rey,CA,90291,06037,145,N,Y,N,N,050740,Los Angeles County,100-299 beds,"November 20, 2023"
361,140,941105628,Kfh - Manteca,Kfh - Manteca,1777 West Yosemite Avenue,Manteca,CA,95337,06077,224,N,Y,N,N,050748,San Joaquin County,100-299 beds,"November 20, 2023"
362,127,940562680,Menlo Park Surgical Hospital,,570 Willow Road,Menlo Park,CA,94025,06081,16,N,Y,N,N,050754,San Mateo County,<100 beds,"November 20, 2023"
363,165,208065139,Sherman Oaks Hospital-Hlth,Sherman Oaks Hospital-Hlth,4929 Van Nuys Blvd,Sherman Oaks,CA,91403,06037,153,N,Y,N,N,050755,Los Angeles County,100-299 beds,"November 20, 2023"
364,165,208065139,Montclair Hospital Medical Center,Montclair Hospital Medical Center,5000 San Bernardino,Montclair,CA,91763,06071,106,N,Y,N,N,050758,San Bernardino County,100-299 beds,"November 20, 2023"
365,140,941105628,Kfh - Antioch,Kfh - Antioch,4501 Sand Creek Road,Antioch,CA,94531,06013,150,N,Y,N,N,050760,Contra Costa County,100-299 beds,"November 20, 2023"
366,230,833972614,Providence Cedars-Sinai Tarzana Medi,Providence Cedars-Sinai Tarzana Medi,18321 Clark Street,Tarzana,CA,91356,06037,245,N,Y,N,N,050761,Los Angeles County,100-299 beds,"November 20, 2023"
367,140,941105628,Kfh - Moreno Valley,Kfh - Moreno Valley,27300 Iris Avenue,Moreno Valley,CA,92360,06065,101,N,Y,N,Y,050765,Riverside County,100-299 beds,"November 20, 2023"
368,227,680273974,Sutter Surgical Hosp - North Valley,Sutter Surgical Hosp - North Valley,455 Plumas Blvd,Yuba City,CA,95991,06101,14,N,Y,N,N,050766,Sutter County,<100 beds,"November 20, 2023"
369,140,941105628,Kfh - Vacaville,Kfh - Vacaville,1 Quality Drive,Vacaville,CA,95688,06095,72,N,Y,N,N,050767,Solano County,<100 beds,"November 20, 2023"
370,176,951643327,Hoag Orthopedic Institute,Hoag Orthopedic Institute,16250 Sand Canyon Avenue,Irvine,CA,92618,06059,70,N,Y,N,N,050769,Orange County,<100 beds,"November 20, 2023"
371,231,371705906,Llumc Murrieta,Llumc Murrieta,28062 Baxter Road,Murrieta,CA,92563,06065,106,N,Y,N,N,050770,Riverside County,100-299 beds,"November 20, 2023"
372,140,941105628,Kfh - Roseville,Kfh - Roseville,1600 Eureka Road,Roseville,CA,95661,06061,340,N,Y,N,Y,050772,Placer County,>299 beds,"November 20, 2023"
373,184,942948100,San Leandro Hospital,San Leandro Hospital,13855 East 14th Street,San Leandro,CA,94578,06001,10,N,Y,N,N,050773,Alameda County,<100 beds,"November 20, 2023"
374,140,941105628,Kfh - San Leandro,Kfh - San Leandro,2500 Merced Street,San Leandro,CA,54577,06001,108,N,Y,N,N,050777,Alameda County,100-299 beds,"November 20, 2023"
375,232,463214504,Loma Linda University Childrens Hosp,Loma Linda University Childrens Hosp,11234 Anderson Street  Ste 1836,Loma Linda,CA,92354,06071,343,Y,Y,N,Y,050778,San Bernardino County,>299 beds,"November 20, 2023"
376,233,274658935,Martin Luther King Community Hosp,Martin Luther King Community Hosp,1680 E 120th Street,Los Angeles,CA,90059,06037,131,N,Y,N,N,050779,Los Angeles County,100-299 beds,"November 20, 2023"
377,234,472189738,Sonoma West Medical Center,Sonoma West Medical Center,501 Petaluma,Sebastopol,CA,95472,06097,37,N,Y,N,N,050781,Sonoma County,<100 beds,"November 20, 2023"
378,235,951643989,Casa Colina Hospital And Centers For,Casa Colina Hospital And Centers For,255 E Bonita,Pomona,CA,91769,06037,99,N,Y,N,N,050782,Los Angeles County,<100 beds,"November 20, 2023"
379,236,832351753,Adventist Health Tulare,Adventist Health Tulare,869 Cherry Street,Tulare,CA,93274,06107,112,N,Y,N,N,050784,Tulare County,100-299 beds,"November 20, 2023"
380,237,812240617,Adventist Health Tehachapi Valley,Adventist Health Tehachapi Valley,115 W E St,Tehachapi,CA,93561,06029,24,N,Y,N,N,051301,Kern County,<100 beds,"November 20, 2023"
381,238,200494719,Glenn Medical Center,Glenn Medical Center,1133 West Sycamore Street,Willows,CA,95988,06021,47,N,N,N,N,051306,Glenn County,<100 beds,"November 20, 2023"
382,239,680008034,Surprise Valley Health Care District,Surprise Valley Health Care District,Main And Washington,Cedarville,CA,96104,06049,4,N,N,N,N,051308,Modoc County,<100 beds,"November 20, 2023"
383,240,680108919,Howard Memorial Hospita,Howard Memorial Hospita,One Marcella Drive,Willits,CA,95490,06045,25,Y,N,N,N,051310,Mendocino County,<100 beds,"November 20, 2023"
384,241,941049467,Biggs-Gridley Memorial Hospital,Biggs-Gridley Memorial Hospital,240 Spruce Street,Gridley,CA,95948,06007,24,N,Y,N,N,051311,Butte County,<100 beds,"November 20, 2023"
385,242,941623075,Fairchild Medical Center,Fairchild Medical Center,444 Bruce Street,Yreka,CA,96097,06093,28,N,N,N,N,051316,Siskiyou County,<100 beds,"November 20, 2023"
386,243,680395149,Adventist Health Clearlake,Adventist Health Clearlake,18th Avenue & Hi-Way 53,Clearlake,CA,95422,06033,32,N,N,N,N,051317,Lake County,<100 beds,"November 20, 2023"
387,125,814791043,Redwood Memorial Hospital,Redwood Memorial Hospital,3300 Renner Drive,Fortuna,CA,95440,06023,25,N,N,N,N,051318,Humboldt County,<100 beds,"November 20, 2023"
388,46,941196203,Mercy Medical Center Mt Shasta,Mercy Medical Center Mt Shasta,914 Pine Street,Mt Shasta,CA,96067,06093,33,N,N,N,N,051319,Siskiyou County,<100 beds,"November 20, 2023"
389,30,450233470,Banner Lassen Medical Center,Banner Lassen Medical Center,1800 Spring Ridge Drvie,Susanville,CA,96130,06035,38,N,N,N,N,051320,Lassen County,<100 beds,"November 20, 2023"
390,159,454171900,Healdsburg District Hospital,Healdsburg District Hospital,1375 University Avenue,Healdsburg,CA,95448,06097,26,N,Y,N,N,051321,Sonoma County,<100 beds,"November 20, 2023"
391,245,845174585,Adventist Health Mendocino Coast,Adventist Health Mendocino Coast,700 River Raod,Ft Bragg,CA,95437,06045,25,N,N,N,N,051325,Mendocino County,<100 beds,"November 20, 2023"
392,127,940562680,Sutter Lakeside Hospital,Sutter Lakeside Hospital,5176 Hill Road East,Lakeport,CA,95453,06033,30,N,N,N,N,051329,Lake County,<100 beds,"November 20, 2023"
393,246,952224265,Santa Ynez Valley Cottage Hospital,Santa Ynez Valley Cottage Hospital,2050 Viborg Road,Solvang,CA,93463,06083,11,N,Y,N,N,051331,Santa Barbara County,<100 beds,"November 20, 2023"
394,247,680127677,Mark Twain Medical Center,Mark Twain Medical Center,768 Mountain Ranch Road,San Andreas,CA,95249,06009,25,N,N,N,N,051332,Calaveras County,<100 beds,"November 20, 2023"
395,209,952082686,Ridgecrest Regional Hospital,Ridgecrest Regional Hospital,1081 N China Lake Rd,Ridgecrest,CA,93555,06029,72,N,Y,N,N,051333,Kern County,<100 beds,"November 20, 2023"
396,136,951683892,Ojai Valley Community Hospital,Ojai Valley Community Hospital,1306 Maricopa Highway,Ojai,CA,93023,06111,91,N,Y,N,N,051334,Ventura County,<100 beds,"November 20, 2023"
397,171,941502014,Mee Memorial Hospital,Mee Memorial Hospital,300 Canal St,King City,CA,93930,06053,25,N,Y,N,N,051336,Monterey County,<100 beds,"November 20, 2023"
398,248,941294954,Valley Childrens Hospital,Valley Childrens Hospital,9300 Valley Childrens Place,Madera,CA,93636,06019,358,N,Y,Y,Y,053300,Fresno County,>299 beds,"November 20, 2023"
399,249,940382330,Childrens Hosp & Res Cntr Oakland,Childrens Hosp & Res Cntr Oakland,747 52nd Street,Oakland,CA,94609,06001,190,N,Y,Y,Y,053301,Alameda County,100-299 beds,"November 20, 2023"
400,250,951690977,Childrens Hospital Los Angeles,Childrens Hospital Los Angeles,4650 Sunset Boulevard,Los Angeles,CA,90027,06037,568,N,Y,Y,Y,053302,Los Angeles County,>299 beds,"November 20, 2023"
401,251,951691313,Rady Childrens Hospital - San Diego,Rady Childrens Hospital - San Diego,3020 Childrens Way,San Diego,CA,92123,06073,518,N,Y,Y,Y,053303,San Diego County,>299 beds,"November 20, 2023"
402,252,952321786,Childrens Hospital Of Orange Count,Childrens Hospital Of Orange Count,1201 W La Veta Avenue,Orange,CA,92868,06059,192,N,Y,Y,Y,053304,Orange County,100-299 beds,"November 20, 2023"
403,253,770003859,Lucile Packard Childrens Hospital,Lucile Packard Childrens Hospital,725 Welch Road,Palo Alto,CA,94304,06085,396,N,Y,Y,Y,053305,Santa Clara County,>299 beds,"November 20, 2023"
404,254,330528802,Childrens Hospital At Mission,Childrens Hospital At Mission,27700 Medical Ctr Rd 5th Fl,Mission Viejo,CA,92691,06059,54,N,Y,Y,N,053306,Orange County,<100 beds,"November 20, 2023"
405,255,431276738,Healthbridge Childrens Hospital,Healthbridge Childrens Hospital,395 S Tustin St,Orange,CA,92866,06059,6,N,Y,Y,N,053308,Orange County,<100 beds,"November 20, 2023"
406,212,352391110,Memorialcare Mcwhlb,Memorialcare Mcwhlb,2801 Atlantic Avenue,Long Beach,CA,90806,06037,354,N,Y,Y,N,053309,Los Angeles County,>299 beds,"November 20, 2023"
407,256,362193608,Shriners Hospitals For Children,,3160 Geneva Street,Los Angeles,CA,90020,06037,60,N,Y,Y,N,053310,Los Angeles County,<100 beds,"November 20, 2023"
408,256,362193608,Shriners Hospital For Children,Shriners Hospital For Children,2425 Stockton Blvd,Sacramento,CA,95817,06067,80,N,Y,Y,Y,053311,Sacramento County,<100 beds,"November 20, 2023"
409,30,450233470,North Colorado Medical Center,North Colorado Medical Center,1801 16th Street,Greeley,CO,80631,08123,378,N,Y,N,N,060001,Weld County,>299 beds,"November 20, 2023"
410,257,840460697,Centura Longmont United Hospital,Centura Longmont United Hospital,1950 West Mountain View Avenue,Longmont,CO,80501,08013,186,N,Y,N,N,060003,Boulder County,100-299 beds,"November 20, 2023"
411,258,840482695,Platte Valley Medical Center,Platte Valley Medical Center,1600 Prairie Center Parkway,Brighton,CO,80601,08001,98,N,Y,N,N,060004,Adams County,<100 beds,"November 20, 2023"
412,259,846002707,Montrose Memorial Hospital,Montrose Memorial Hospital,800 S Third,Montrose,CO,81401,08085,75,N,N,N,Y,060006,Montrose County,<100 beds,"November 20, 2023"
413,260,840255530,San Luis Valley Health,,106 Blanca Ave,Alamosa,CO,81101,08003,59,N,N,N,N,060008,Alamosa County,<100 beds,"November 20, 2023"
414,261,841103606,Lutheran Medical Center,Lutheran Medical Center,8300 West 38th Ave,Wheat Ridge,CO,80033,08059,364,N,Y,N,N,060009,Jefferson County,>299 beds,"November 20, 2023"
415,262,841262971,Poudre Valley Hospital,Poudre Valley Hospital,1024 S Lemay Avenue,Ft Collins,CO,80524,08069,281,N,Y,N,Y,060010,Larimer County,100-299 beds,"November 20, 2023"
416,263,840405257,Centura St Mary Corwin Hospital,Centura St Mary Corwin Hospital,1008 Minnequa Avenue,Pueblo,CO,81004,08101,408,Y,Y,N,Y,060012,Pueblo County,>299 beds,"November 20, 2023"
417,263,840405257,Centura Mercy Hospital,Centura Mercy Hospital,1010 Three Springs Blvd,Durango,CO,81301,08067,82,Y,N,N,Y,060013,La Plata County,<100 beds,"November 20, 2023"
418,264,742568941,Presbyterian/St Lukes Medical Center,Presbyterian St Lukes Medical Ctr,1719 E 19th Ave,Denver,CO,80218,08031,680,N,Y,N,Y,060014,Denver County,>299 beds,"November 20, 2023"
419,263,840405257,Centura St Anthony Hospital,Centura St Anthony Hospital,11600 W 2nd Place,Lakewood,CO,80228,08059,593,Y,Y,N,Y,060015,Jefferson County,>299 beds,"November 20, 2023"
420,263,840405257,Centura Health-St Thomas More Hospital,,1338 Phay Ave,Canon City,CO,81212,08043,55,N,N,N,N,060016,Fremont County,<100 beds,"November 20, 2023"
421,265,840935136,Parkview Medical Center,Parkview Medical Center,400 W 16th Street,Pueblo,CO,81003,08101,350,N,Y,N,N,060020,Pueblo County,>299 beds,"November 20, 2023"
422,266,460796114,University Colo Health Memorial Hospital Central,Memorial Health System,1400 E Boulder St,Colorado Springs,CO,80909,08041,583,N,Y,N,N,060022,El Paso County,>299 beds,"November 20, 2023"
423,267,840425720,St Marys Hospital & Medical Center,St Marys Hospital & Medical Center,2635 North 7th Street,Grand Junction,CO,81502,08077,346,Y,Y,N,N,060023,Mesa County,>299 beds,"November 20, 2023"
424,268,840175870,Boulder Community Hospital,Boulder Community Hospital,4747 Arapahoe Avenue,Boulder,CO,80303,08013,211,N,Y,N,N,060027,Boulder County,100-299 beds,"November 20, 2023"
425,269,840417134,Saint Joseph Hospital,Saint Joseph Hospital,1375 East 19th Avenue,Denver,CO,80218,08031,565,N,Y,N,Y,060028,Denver County,>299 beds,"November 20, 2023"
426,30,450233470,Mckee Medical Center,Mckee Medical Center,2000 Boise Avenue,Loveland,CO,80538,08069,115,N,Y,N,N,060030,Larimer County,100-299 beds,"November 20, 2023"
427,263,840405257,Centura Penrose Hospital,Centura Penrose Hospital,2222 N Nevada,Colorado Springs,CO,80907,08041,522,N,Y,N,N,060031,El Paso County,>299 beds,"November 20, 2023"
428,264,742568941,Rose Medical Center,Rose Medical Center,4567 E 9th Avenue,Denver,CO,80220,08031,422,N,Y,N,Y,060032,Denver County,>299 beds,"November 20, 2023"
429,264,742568941,Swedish Medical Center,Swedish Medical Center,501 E Hampden Avenue,Englewood,CO,80113,08005,368,N,Y,N,Y,060034,Arapahoe County,>299 beds,"November 20, 2023"
430,270,841465990,Arkansas Valley Regional Medical Center,,1100 Carson Avenue,La Junta,CO,81050,08089,25,N,N,N,N,060036,Otero County,<100 beds,"November 20, 2023"
431,271,840398876,Yampa Valley Medical Center,Yampa Valley Medical Center,1024 Central Park Drive,Steamboat Springs,CO,80487,08107,39,N,N,N,N,060049,Routt County,<100 beds,"November 20, 2023"
